Movie_Title,new_censor
Kantara,kids
The Dark Knight,kids
The Lord of the Rings: The Return of the King,kids
Inception,kids
The Lord of the Rings: The Two Towers,kids
The Lord of the Rings: The Fellowship of the Ring,kids
The Matrix,adults
The Empire Strikes Back,kids
Terminator 2: Judgment Day,adults
Star Wars,kids
Seppuku,unrated
Shichinin no samurai,kids
Kaithi,kids
Asuran,kids
Sita Ramam,kids
Gladiator,kids
Léon,adults
Vikram,kids
Spider-Man: Into the Spider-Verse,kids
Avengers: Endgame,kids
Avengers: Infinity War,kids
Top Gun: Maverick,kids
The Dark Knight Rises,kids
K.G.F: Chapter 2,kids
Shershaah,kids
Oldeuboi,adults
Mononoke-hime,kids
Aliens,kids
Raiders of the Lost Ark,adults
Vikram Vedha,kids
Dangal,kids
Spider-Man: No Way Home,kids
Heat,adults
Star Wars: Episode VI - Return of the Jedi,kids
North by Northwest,kids
Major,kids
1917,adults
Uri: The Surgical Strike,kids
K.G.F: Chapter 1,kids
Dag II,unrated
Baahubali 2: The Conclusion,kids
Gangs of Wasseypur,adults
Paan Singh Tomar,kids
Warrior,kids
Kimetsu no Yaiba: Mugen Ressha-Hen,kids
V for Vendetta,kids
Batman Begins,kids
Kill Bill: Vol. 1,adults
"Lock, Stock and Two Smoking Barrels",adults
Jurassic Park,kids
Indiana Jones and the Last Crusade,kids
Die Hard,adults
Ran,kids
Yôjinbô,kids
The General,unrated
Sherlock Jr.,unrated
Everything Everywhere All at Once,adults
Bajrangi Bhaijaan,kids
Logan,adults
Rush,adults
Ford v Ferrari,kids
Mad Max: Fury Road,kids
A Wednesday,kids
How to Train Your Dragon,kids
Pirates of the Caribbean: The Curse of the Black Pearl,kids
Hera Pheri,kids
Sarfarosh,adults
The Iron Giant,kids
The Terminator,kids
Blade Runner,kids
Sholay,kids
Kakushi-toride no san-akunin,unrated
White Heat,unrated
RRR (Rise Roar Revolt),kids
Arjun Reddy,adults
Kaththi,kids
Haider,kids
Bãhubali: The Beginning,kids
1 - Nenokkadine,kids
Thuppakki,kids
Guardians of the Galaxy,kids
Blade Runner 2049,kids
The Revenant,adults
Tropa de Elite 2: O Inimigo Agora é Outro,unrated
Deadpool,adults
Karthikeya 2,kids
Zack Snyder's Justice League,adults
Ip Man,adults
Nefes: Vatan Sagolsun,unrated
Dune: Part One,kids
Tropa de Elite,adults
The Avengers,kids
The Bourne Ultimatum,kids
Taegukgi hwinalrimyeo,adults
Casino Royale,kids
Kill Bill: Vol. 2,adults
Mou gaan dou,kids
The Incredibles,kids
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",unrated
Andaz Apna Apna,kids
Akira,kids
Sanjuro,kids
Minnal Murali,teens
Airlift,kids
Baby,kids
Thor: Ragnarok,kids
Serbuan maut 2: Berandal,adults
Vishwaroopam,kids
X-Men: Days of Future Past,kids
The Batman,kids
Edge of Tomorrow,kids
District 9,adults
Star Trek,kids
Letters from Iwo Jima,kids
Iron Man,kids
Ying xiong,kids
The Bourne Identity,kids
Children of Men,adults
Wo hu cang long,kids
Knockin' on Heaven's Door,unrated
Kôkaku Kidôtai,kids
The Blues Brothers,kids
The Wild Bunch,adults
Per un pugno di dollari,adults
The Adventures of Robin Hood,kids
The Gentlemen,adults
Doragon bôru chô: Burorî,kids
Dunkirk,kids
Rogue One,kids
Captain America: Civil War,kids
Star Wars: Episode VII - The Force Awakens,kids
Big Hero 6,kids
Captain America: The Winter Soldier,kids
How to Train Your Dragon 2,kids
Ang-ma-reul bo-at-da,unrated
Captain Phillips,kids
Thirteen Lives,teens
Chugyeokja,unrated
Skyfall,kids
The Fighter,kids
Taken,adults
Drive,adults
Avatar,kids
Apocalypto,adults
Hot Fuzz,adults
Serenity,teens
The Last Samurai,kids
Cowboy Bebop: Tengoku no tobira,kids
Gongdong gyeongbi guyeok JSA,unrated
Jûbê ninpûchô,adults
The Fugitive,kids
Batman: Mask of the Phantasm,kids
Dip huet seung hung,adults
Predator,adults
Ghostbusters,kids
"Aguirre, der Zorn Gottes",unrated
Raazi,kids
Deadpool 2,adults
Mission: Impossible - Fallout,kids
Udta Punjab,adults
Kubo and the Two Strings,kids
Kingsman: The Secret Service,adults
Ajeossi,kids
The Lego Movie,kids
Star Trek Into Darkness,kids
X: First Class,kids
3:10 to Yuma,adults
Kung fu,kids
The Bourne Supremacy,adults
Man on Fire,kids
Black Hawk Down,adults
