show_id,director
s1,Kirsten Johnson
s2,
s3,Julien Leclercq
s4,
s5,
s6,Mike Flanagan
s7,Robert Cullen
s8,Haile Gerima
s9,Andy Devonshire
s10,Theodore Melfi
s11,
s12,Kongkiat Komesiri
s13,Christian Schwochow
s14,Bruno Garotti
s15,
s16,
s17,Pedro de Echave García
s18,
s19,Adam Salky
s20,
s21,Olivier Megaton
s22,
s23,K.S. Ravikumar
s24,Alex Woo
s25,S. Shankar
s26,
s27,Rajiv Menon
s28,Dennis Dugan
s29,Scott Stewart
s30,Robert Luketic
s31,Ashwiny Iyer Tiwari
s32,
s33,
s34,
s35,
s36,Daniel Sandu
s37,Cédric Jimenez
s38,
s39,George Nolfi
s40,
s41,
s42,Steven Spielberg
s43,Jeannot Szwarc
s44,Joe Alves
s45,Joseph Sargent
s46,Tyler Greco
s47,Daniel Espinosa
s48,Bunmi Ajakaiye
s49,Antoine Fuqua
s50,
s51,
s52,Toshiya Shinohara
s53,Toshiya Shinohara
s54,Toshiya Shinohara
s55,Toshiya Shinohara
s56,
s57,Masahiko Murata
s58,Hajime Kamegaki
s59,Masahiko Murata
s60,Hajime Kamegaki
s61,Masahiko Murata
s62,Hirotsugu Kawasaki
s63,Toshiyuki Tsuru
s64,Tensai Okamura
s65,David Yarovesky
s66,
s67,
s68,
s69,Hanns-Bruno Kammertöns
s70,
s71,
s72,David A. Vargas
s73,
s74,Kemi Adetiba
s75,
s76,Ben Simms
s77,
s78,Prakash Satam
s79,Delhiprasad Deenadayalan
s80,Delhiprasad Deenadayalan
s81,Tomer Eshed
s82,Cedric Nicolas-Troyan
s83,
s84,
s85,JJC Skillz
s86,
s87,Thomas Sieben
s88,
s89,Marcus Clarke
s90,
s91,Alice Waddington
s92,Mona Achache
s93,
s94,Alexis Almström
s95,Raja Gosnell
s96,
s97,Stephen Kijak
s98,
s99,
s100,
s101,
s102,Chapman Way
s103,Jason Hehir
s104,Yemi Amodu
s105,
s106,Lijo Jose Pellissery
s107,
s108,David de Vos
s109,
s110,
s111,Luis Alfaro
s112,
s113,Sara Colangelo
s114,Stephen Herek
s115,Rahul Rawail
s116,Jane Campion
s117,Nagesh Kukunoor
s118,Luke Holland
s119,Shanker Raman
s120,JP Habac
s121,
s122,
s123,Jane Campion
s124,
s125,
s126,
s127,Vidhu Vinod Chopra
s128,Mark Rosman
s129,Gilles Paquet-Brenner
s130,Lasse Hallström
s131,Scott Pleydell-Pearce
s132,Ridley Scott
s133,
s134,Neill Blomkamp
s135,Phillip Noyce
s136,Renny Harlin
s137,Anthony Minghella
s138,Simon Wincer
s139,Lasse Hallström
s140,Spike Lee
s141,Sebastián Schindel
s142,Steven C. Miller
s143,Richard LaGravenese
s144,Martin Campbell
s145,Reginald Hudlin
s146,George Jackson
s147,Eric Meza
s148,
s149,Gerhard Mostert
s150,Michael Martin
s151,Michael Rymer
s152,Andrew Lau Wai-keung
s153,Brett Weiner
s154,
s155,
s156,Jim Henson
s157,Gary Winick
s158,Danishka Esterhazy
s159,Troy Byer
s160,Pang Ho-cheung
s161,
s162,Tim Burton
s163,Reginald Hudlin
s164,David Zucker
s165,Kinka Usher
s166,
s167,Sergio Leone
s168,Matthew O'Callaghan
s169,Bobby Farrelly
s170,Wolfgang Petersen
s171,Peter Spirer
s172,Michael Carney
s173,Richard Linklater
s174,Amy Rice
s175,Antoine Fuqua
s176,Randal Kleiser
s177,Michael Ritchie
s178,J. Lee Thompson
s179,Evan Goldberg
s180,Tom Shadyac
s181,Peter Segal
s182,
s183,Malcolm D. Lee
s184,Wolfgang Petersen
s185,
s186,Chapman Way
s187,
s188,
s189,Ramzy Bedia
s190,
s191,Sharan Koppisetty
s192,Taylor Sheridan
s193,Sachin Yardi
s194,
s195,
s196,Saurabh Kabra
s197,Mark Waters
s198,
s199,Kemi Adetiba
s200,Partho Mitra
s201,Santram Varma
s202,Anil V. Kumar
s203,Sangeeth Sivan
s204,Umesh Ghadge
s205,Sachin Yardi
s206,David Dhawan
s207,Dibakar Banerjee
s208,Apoorva Lakhia
s209,Milan Luthria
s210,Milan Luthria
s211,Pawan Kripalani
s212,Bhushan Patel
s213,
s214,
s215,Magnus Martens
s216,Apoorva Lakhia
s217,Raj Nidimoru
s218,Milan Luthria
s219,
s220,
s221,
s222,Joshua Rofé
s223,Brad Anderson
s224,Mauricio Dias
s225,
s226,
s227,
s228,Angel Kristi Williams
s229,Roger Donaldson
s230,Christopher Alender
s231,Rush Sturges
s232,David Oyelowo
s233,
s234,Mark Lo
s235,
s236,Crystal Moselle
s237,Rathindran R Prasad
s238,Rathindran R Prasad
s239,Rathindran R Prasad
s240,Rathindran R Prasad
s241,Han Kwang Il
s242,
s243,
s244,
s245,Karim El Shenawy
s246,
s247,Yin Chen-hao
s248,Brian Andrew Mendoza
s249,
s250,Dave Needham
s251,Veronica Velasco
s252,Drake Doremus
s253,Miguel Alexandre
s254,Mani Ratnam
s255,
s256,Michael Harte
s257,Tosin Igho
s258,Mani Ratnam
s259,Alice Filippi
s260,Paakhi Tyrewala
s261,
s262,Bruno Garotti
s263,Laura Brownson
s264,
s265,Steve Brill
s266,
s267,
s268,Jane Campion
s269,Moses Inwang
s270,
s271,Ferdinando Cito Filomarino
s272,
s273,
s274,Juan Carlos Medina
s275,
s276,
s277,Inma Torrente
s278,
s279,Julián Gaviria
s280,Steven Yamamoto
s281,
s282,Charles Uwagbai
s283,Julián Hernández
s284,Sam Hobkinson
s285,Vince Marcello
s286,Jonathan Teplitzky
s287,
s288,Sakon Tiacharoen
s289,
s290,
s291,Floyd Russ
s292,
s293,Dustin Hoffman
s294,Adze Ugah
s295,Hideaki Takizawa
s296,Quoc Bao Tran
s297,
s298,Bejoy Nambiar
s299,Kayode Kasum
s300,Just Philippot
s301,Kirk DeMicco
s302,Rohit Shetty
s303,Cavi Borges
s304,Alejandro Doria
s305,Laura Fairrie
s306,Marcelo Piñeyro
s307,Izu Ojukwu
s308,Peter Winther
s309,Susan Lacy
s310,
s311,Billy Corben
s312,
s313,
s314,
s315,James Mangold
s316,Chineze Anyaene
s317,Hsu Fu-chun
s318,Kristine Stolakis
s319,Eva Müller
s320,
s321,
s322,
s323,
s324,
s325,
s326,Brian Levant
s327,Rod Daniel
s328,Robert Zemeckis
s329,Todor Chapkanov
s330,Steven Spielberg
s331,Phil Lord
s332,
s333,Renny Harlin
s334,John Hughes
s335,Justin Baldoni
s336,Joe Roth
s337,
s338,Mark Helfrich
s339,
s340,Mag Hsu
s341,Christopher Nolan
s342,Paul Thomas Anderson
s343,Nick Castle
s344,Howard Zieff
s345,Howard Zieff
s346,David Feiss
s347,David Gordon Green
s348,Jorge Blanco
s349,Zara Hayes
s350,Gary Ross
s351,Clint Eastwood
s352,Trey Parker
s353,Kelly Fremon Craig
s354,Tom Elkins
s355,Tony Scott
s356,Brad Furman
s357,Sylvain White
s358,Brad Anderson
s359,Irwin Winkler
s360,Spike Lee
s361,Garry Marshall
s362,
s363,Kenneth Gyang
s364,Jaume Balagueró
s365,
s366,Najwa Najjar
s367,
s368,Selçuk Metin
s369,
s370,
s371,
s372,Najwa Najjar
s373,Keishi Otomo
s374,David Charhon
s375,Michelle Bello
s376,Steven Tsuchida
s377,
s378,Daniel Markowicz
s379,Louie Schwartzberg
s380,
s381,Glen Winter
s382,
s383,
s384,Ram Gopal Varma
s385,David Benullo
s386,
s387,
s388,Laxman Utekar
s389,Royale Watkins
s390,Yuval Adler
s391,
s392,
s393,Quentin Tarantino
s394,Clay Glen
s395,Muzi Mthembu
s396,Marcos Bucay
s397,Peter Thorwarth
s398,
s399,Kim Seong-hun
s400,
s401,
s402,
s403,Augustine Frizzell
s404,
s405,
s406,Sidheswar Shukla
s407,Rajiv Chilaka
s408,Rajiv Chilaka
s409,Rajiv Chilaka
s410,Rajiv Chilaka
s411,Rajiv Chilaka
s412,Rajiv Chilaka
s413,Rajiv Chilaka
s414,Rajiv Chilaka
s415,Rajiv Chilaka
s416,Rajiv Chilaka
s417,Rajiv Chilaka
s418,Binayak Das
s419,Arpan Sarkar
s420,Rajiv Chilaka
s421,Rajiv Chilaka
s422,Rajiv Chilaka
s423,Rajiv Chilaka
s424,Rajiv Chilaka
s425,Rajiv Chilaka
s426,
s427,Ainsley Gardiner
s428,Mahmoud Karim
s429,Kyohei Ishiguro
s430,Seyi Babatope
s431,
s432,
s433,Johane Matte
s434,Morgan Ingari
s435,
s436,
s437,Abdulaziz Alshlahei
s438,Edward Drake
s439,Kathryn Fasegha
s440,Sita Likitvanichkul
s441,
s442,Leigh Janiak
s443,
s444,Luis Estrada
s445,Garrett Bradley
s446,Sofia Coppola
s447,Colin Trevorrow
s448,Bill Condon
s449,Bill Condon
s450,David Slade
s451,Chris Weitz
s452,Catherine Hardwicke
s453,Hadrah Daeng Ratu
s454,
s455,Tommy Chong
s456,Fred Ouro Preto
s457,
s458,Mayye Zayed
s459,Alessandra de Rossi
s460,
s461,Ash Brannon
s462,Alaa Eddine Aljem
s463,Tom Donahue
s464,Roberto De Feo
s465,Navot Papushado
s466,
s467,
s468,Manuel Alcalá
s469,Ricardo Trogi
s470,Semi Chellas
s471,
s472,Akay Mason
s473,
s474,Viridiana Lieberman
s475,Nima Nourizadeh
s476,Daniel Růžička
s477,Juraj Šajmovič
s478,
s479,
s480,Leigh Janiak
s481,Femi D. Ogunsanwo
s482,Douglas Attal
s483,
s484,
s485,Kim Joo-hyung
s486,Avi Federgreen
s487,Jericca Cleland
s488,
s489,
s490,Ahmed Siddiqui
s491,
s492,Hallie Meyers-Shyer
s493,Scott Speer
s494,
s495,Barry Levinson
s496,Tolulope Itegboje
s497,Camille Delamarre
s498,
s499,Pascal Atuma
s500,
s501,Oleg Trofim
s502,Seyi Babatope
s503,Mahmood Ali-Balogun
s504,Jan Holoubek
s505,
s506,Anurin Nwunembom
s507,Christine Luby
s508,Udoka Oyeka
s509,Yeo Siew Hua
s510,
s511,
s512,
s513,
s514,
s515,
s516,
s517,
s518,
s519,Hardik Mehta
s520,
s521,
s522,
s523,
s524,
s525,
s526,
s527,
s528,
s529,Rajveer Singh Maan
s530,Youssef Chahine
s531,
s532,Saw Teong Hin
s533,
s534,
s535,Rano Karno
s536,
s537,
s538,
s539,
s540,
s541,
s542,Pramod Pawar
s543,Naresh Saigal
s544,
s545,
s546,
s547,
s548,
s549,
s550,
s551,Leigh Janiak
s552,Vinil Mathew
s553,Neri Parenti
s554,
s555,Ramsey Nouah
s556,Bong Joon Ho
s557,Kim Tae-hyung
s558,Michael Spierig
s559,Ernie Barbarash
s560,Wolfgang Petersen
s561,Matt Ogens
s562,Jay Roach
s563,Jay Roach
s564,Jay Roach
s565,Paul Thomas Anderson
s566,
s567,McG
s568,Frank Marshall
s569,Nick Castle
s570,Victor Vu
s571,Chow Hin Yeung Roy
s572,
s573,Joel Hopkins
s574,John Stevenson
s575,Jennifer Yuh Nelson
s576,Greg Berlanti
s577,Garth Davis
s578,Malik Nejer
s579,Rob Marshall
s580,Martin Brest
s581,Shuko Murase
s582,Paul W.S. Anderson
s583,Garry Marshall
s584,Ivan Reitman
s585,Joel Gallen
s586,Claire McCarthy
s587,Mary Lambert
s588,Sidharta Tata
s589,
s590,Trevor Nunn
s591,
s592,Gabriele Muccino
s593,Jim Field Smith
s594,Chris Koch
s595,J.J. Abrams
s596,Rob Minkoff
s597,Lynn Shelton
s598,Adam McKay
s599,Anton Corbijn
s600,Robin Bissell
s601,David Fincher
s602,John G. Avildsen
s603,John G. Avildsen
s604,John G. Avildsen
s605,Alan Parker
s606,Walter Hill
s607,Stephen Frears
s608,Bryan Bertino
s609,Phil Alden Robinson
s610,Florian Henckel von Donnersmarck
s611,Len Wiseman
s612,Måns Mårlind
s613,Patrick Tatopoulos
s614,Robert O. Peters
s615,Vincent Ward
s616,Gregory Nava
s617,Mary Harron
s618,
s619,Matt Thompson
s620,Jameel Buari
s621,
s622,Shen Leping
s623,Matt Aselton
s624,Jose Javier Reyes
s625,Jakub Piątek
s626,
s627,John Dower
s628,
s629,
s630,B. T Thomas
s631,Andrew Dominik
s632,
s633,Nibal Arakji
s634,Sofie Šustková
s635,Anissa Bonnefont
s636,Bahij Hojeij
s637,Jonathan Hensleigh
s638,Srijit Mukherji
s639,
s640,
s641,
s642,
s643,
s644,Justin P. Lange
s645,Kimmy Gatewood
s646,Tània Balló
s647,Manolo Caro
s648,
s649,
s650,Anurin Nwunembom
s651,Jayme Monjardim
s652,Kingsley Ogoro
s653,Kingsley Ogoro
s654,
s655,Cristina Jacob
s656,Cristina Jacob
s657,Cristina Jacob
s658,
s659,
s660,
s661,
s662,
s663,
s664,
s665,Fernando Moro
s666,
s667,Ivan Andrew Payawal
s668,
s669,
s670,
s671,Yoshiyuki Tomino
s672,Yoshiyuki Tomino
s673,Yoshiyuki Tomino
s674,
s675,
s676,
s677,Rob Seidenglanz
s678,
s679,
s680,
s681,
s682,Simon Frederick
s683,
s684,Michihito Fujii
s685,
s686,Paul Weitz
s687,
s688,Karthik Subbaraj
s689,Kayode Kasum
s690,Yoshiyuki Tomino
s691,Keishi Otomo
s692,
s693,Hsu Fu-chun
s694,Lucky Kuswandi
s695,Soudade Kaadan
s696,Soudade Kaadan
s697,
s698,
s699,Antoinette Jadaone
s700,
s701,
s702,Marie Clements
s703,David O. Russell
s704,
s705,Achille Brice
s706,Max Jabs
s707,
s708,Sarawut Wichiensarn
s709,Ricardo de Montreuil
s710,
s711,
s712,Peter Chelsom
s713,Michael Lockshin
s714,
s715,
s716,
s717,Francine Parker
s718,
s719,Daniel Schechter
s720,
s721,
s722,Mike Gunther
s723,David Zeiger
s724,Michael Simon
s725,Jerry Rothwell
s726,
s727,Joe Berlinger
s728,Ian Cheney
s729,Bradley Parker
s730,
s731,
s732,
s733,
s734,
s735,
s736,Prabhakaran
s737,Manjari Makijany
s738,Jay Oliva
s739,
s740,Chris Appelhans
s741,Michael Tiddes
s742,Lara Saba
s743,Bao Nhan
s744,Mark Raso
s745,
s746,Tariq Alkazim
s747,Mark Raso
s748,Kenneth Gyang
s749,
s750,
s751,Yulene Olaizola
s752,
s753,Mark Waters
s754,
s755,Matthew Heineman
s756,
s757,Robert Peters
s758,Jonathan Clay
s759,Ally Pankiw
s760,George Ford
s761,George Ford
s762,
s763,Lee Kae-byeok
s764,
s765,Jayan Moodley
s766,Daniel Benmayor
s767,Alex Díaz
s768,
s769,Helena Bergström
s770,Alejandro De Grazia
s771,Myriam Fares
s772,Chiaki Kon
s773,
s774,Rae Red
s775,Lance Hool
s776,Nicole Conn
s777,Les Mayfield
s778,Ellen Seidler
s779,
s780,Roger Christian
s781,
s782,Peter Galison
s783,Lance Young
s784,Leandro Neri
s785,Thom Fitzgerald
s786,
s787,Don Michael Paul
s788,Andrzej Bartkowiak
s789,Harold Becker
s790,
s791,Andrew Jenks
s792,Ric Roman Waugh
s793,Rob Reiner
s794,Andy Tennant
s795,Tade Ogidan
s796,
s797,Scott Spiegel
s798,Jessie Nelson
s799,Theodore Witcher
s800,Clint Eastwood
s801,Aurora Guerrero
s802,Michael Jai White
s803,James McTeigue
s804,Takuya Igarashi
s805,Michelle MacLaren
s806,
s807,Hidenori Inoue
s808,Hidenori Inoue
s809,Don Michael Paul
s810,Todd Phillips
s811,Walter Hill
s812,Steve Ball
s813,Dominic Sena
s814,
s815,Alan Alda
s816,Mika Kaurismäki
s817,Sydney Pollack
s818,Lorene Scafaria
s819,Barbra Streisand
s820,Clint Eastwood
s821,
s822,Michael Winterbottom
s823,Emma Tammi
s824,Peter Hutchings
s825,George Ratliff
s826,
s827,Bo Burnham
s828,Ekene Som Mekwunye
s829,David Frankel
s830,Kevin Johnson
s831,
s832,José Larraza
s833,Gary Sing
s834,
s835,Julio Quintana
s836,
s837,Paween Purijitpanya
s838,
s839,Pablo Faro
s840,Soudade Kaadan
s841,Letizia Lamartire
s842,Ray Jiang
s843,
s844,
s845,Daniel Vernon
s846,Steve Gukas
s847,Tim Johnson
s848,
s849,
s850,
s851,Vishwesh Krishnamoorthy
s852,
s853,
s854,Zack Snyder
s855,
s856,
s857,Uduak-Obong Patrick
s858,
s859,Mohamed Diab
s860,Amr Salama
s861,Christopher Amos
s862,Prakash Satam
s863,
s864,Robert Rodriguez
s865,Milan Luthria
s866,David Ayer
s867,Eshom Nelms
s868,James Moll
s869,
s870,
s871,James Redford
s872,Kaashvie Nair
s873,J.D. Dillard
s874,Nikhil Pherwani
s875,
s876,Mae Czarina Cruz
s877,
s878,Praveen Kandregula
s879,Cecilia Verheyden
s880,Daniel Minahan
s881,
s882,Donovan Marsh
s883,Brent Dawes
s884,
s885,
s886,Leli Maki
s887,Uzodinma Okpechi
s888,Daniel Prochaska
s889,
s890,Joe Wright
s891,
s892,Matthew Vaughn
s893,Aditya Kripalani
s894,Adriano Rudiman
s895,David Pablos
s896,Alexandre Aja
s897,
s898,Cai Cong
s899,Samuel Olatunji
s900,Ramon Térmens
s901,
s902,Svetlana Cvetko
s903,
s904,Martin Prakkat
s905,Baran bo Odar
s906,Zhang Chong
s907,Yılmaz Erdoğan
s908,Shantrelle P. Lewis
s909,
s910,Ivan Ayr
s911,Anthony Mandler
s912,Vijay Roche
s913,
s914,Stanley Menino D'Costa
s915,Jennifer Brea
s916,Julia von Heinz
s917,Niels Arden Oplev
s918,Don Argott
s919,
s920,Joshua Zeman
s921,
s922,
s923,Duncan Skiles
s924,
s925,Sean McNamara
s926,
s927,Vondie Curtis-Hall
s928,
s929,Robert Radler
s930,Roel Reiné
s931,Todd Phillips
s932,Dean Parisot
s933,Paul Greengrass
s934,Lasse Hallström
s935,Justin Kelly
s936,Eric Darnell
s937,
s938,Suhas Kadav
s939,Suhas Kadav
s940,Suhas Kadav
s941,Suhas Kadav
s942,Suhas Kadav
s943,Clint Eastwood
s944,Jeff Wadlow
s945,Charles Martin
s946,Stella Corradi
s947,Roland Emmerich
s948,Kevin Macdonald
s949,Ann Deborah Fishman
s950,Chris Gorak
s951,Peter Jackson
s952,Roger Kumble
s953,Jonathan Lynn
s954,Courtney Hunt
s955,Pierre Greco
s956,Andrew Davis
s957,Kevin Smith
s958,
s959,Tosin Igho
s960,Chaitanya Tamhane
s961,Oriol Paulo
s962,Mike Rianda
s963,Johannes Roberts
s964,
s965,Robert Pulcini
s966,
s967,Pedro Antonio
s968,
s969,
s970,John Wells
s971,Jonathan Liebesman
s972,Maria Pulera
s973,
s974,Santhosh Viswanath
s975,Seema Pahwa
s976,
s977,Ozan Açıktan
s978,Meltem Bozoflu
s979,Hakan Algül
s980,Selçuk Aydemir
s981,Selçuk Aydemir
s982,Ömer Faruk Sorak
s983,Şenol Sönmez
s984,Alexis Morante
s985,Burak Aksak
s986,Kıvanç Baruönü
s987,Kıvanç Baruönü
s988,Rindala Kodeih
s989,Kongkiat Khomsiri
s990,Bedran Güzel
s991,Hakan Algül
s992,Marwan Nabil
s993,MIKIKO
s994,
s995,Kayode Kasum
s996,Yılmaz Erdoğan
s997,Takashi Shimizu
s998,
s999,
s1000,Joe Penna
s1001,Ahishor Solomon
s1002,Curtis Graham
s1003,Gerardo Gatica
s1004,
s1005,
s1006,
s1007,Suhas Kadav
s1008,Suhas Kadav
s1009,Suhas Kadav
s1010,Akshay Sanjeev Chavan
s1011,
s1012,
s1013,
s1014,John Madden
s1015,
s1016,Edward James Olmos
s1017,Abhinay Deo
s1018,Kiran Rao
s1019,Abbas Tyrewala
s1020,Ashutosh Gowariker
s1021,Satyajit Bhatkal
s1022,Anusha Rizvi
s1023,Aamir Khan
s1024,Shashank Khaitan
s1025,Ryan Crego
s1026,
s1027,Cassi Simonds
s1028,Guillermo del Toro
s1029,
s1030,Tony Abulu
s1031,Mae Czarina Cruz
s1032,Stefan Westerwelle
s1033,
s1034,Ron Howard
s1035,Justin Benson
s1036,Niki Caro
s1037,Mark Dennis
s1038,Taranveer Singh
s1039,
s1040,TT The Artist
s1041,
s1042,Keiichi Sato
s1043,Glenn Weiss
s1044,
s1045,
s1046,
s1047,Michael Civille
s1048,
s1049,
s1050,
s1051,Ryuichi Hiroki
s1052,
s1053,Paul Thomas Anderson
s1054,One9
s1055,Adriano Rudiman
s1056,Luis Valdez
s1057,
s1058,
s1059,
s1060,
s1061,
s1062,
s1063,
s1064,
s1065,
s1066,
s1067,Cheng Wei-hao
s1068,Pass Patthanakumjon
s1069,
s1070,Buchi Babu Sana
s1071,Fredrick Munk
s1072,Suhas Kadav
s1073,Suhas Kadav
s1074,Suhas Kadav
s1075,Suhas Kadav
s1076,Moyoung Jin
s1077,Suhas Kadav
s1078,Suhas Kadav
s1079,Suhas Kadav
s1080,
s1081,Zhao Ji
s1082,
s1083,
s1084,Jamie Babbit
s1085,
s1086,Park Hoon-jung
s1087,Dare Olaitan
s1088,Hardik Mehta
s1089,Ben Falcone
s1090,Travon Free
s1091,Angga Dwimas Sasongko
s1092,
s1093,
s1094,
s1095,
s1096,
s1097,Steve Rolston
s1098,Shalini Kantayya
s1099,Madonne Ashwin
s1100,Enah Johnscott
s1101,Braden R. Duemmler
s1102,Cal Brunker
s1103,Steve Pink
s1104,Xiao Feng
s1105,Vince Marcello
s1106,Ricky Staub
s1107,Patrick Durham
s1108,BB Sasore
s1109,Naseef Yusuf Izuddin
s1110,Appie Boudellah
s1111,Sylvie Verheyde
s1112,Nick Moore
s1113,Alex Zamm
s1114,Roland Emmerich
s1115,Rajkumar Hirani
s1116,Rajesh Mapuskar
s1117,
s1118,Lina Al Abed
s1119,James Wan
s1120,David Hackl
s1121,Takeshi Nozue
s1122,Robert Luketic
s1123,Subhash Kapoor
s1124,
s1125,Ringo Lam
s1126,
s1127,George Cukor
s1128,
s1129,Tony Giglio
s1130,
s1131,Hidenori Inoue
s1132,Hidenori Inoue
s1133,Hidenori Inoue
s1134,Don Michael Paul
s1135,Shinji Aramaki
s1136,John Luessenhop
s1137,Hanung Bramantyo
s1138,Bashir El Deek
s1139,Roman Polański
s1140,Nelson McCormick
s1141,Mic Rodgers
s1142,Bejoy Nambiar
s1143,Shawn Rech
s1144,
s1145,Peyton Reed
s1146,Julian Schnabel
s1147,Adrián García Bogliano
s1148,Jose Gomez
s1149,
s1150,
s1151,Jonathon Link
s1152,Blair Simmons
s1153,
s1154,Justin Chadwick
s1155,John Hillcoat
s1156,Nadine Ibrahim
s1157,Roman White
s1158,
s1159,
s1160,Fermín Muguruza
s1161,Mike Hodges
s1162,
s1163,Eylem Kaftan
s1164,
s1165,Fernando Ayllón
s1166,Umesh Bist
s1167,
s1168,Massimiliano Camaiti
s1169,
s1170,
s1171,Aleksey Tsitsilin
s1172,Ali Tabrizi
s1173,Kagiso Lediga
s1174,Jung-ah Im
s1175,
s1176,Stephen Frears
s1177,Takuma Sato
s1178,Brody Chu
s1179,Dimitri Logothetis
s1180,
s1181,
s1182,
s1183,
s1184,Taketoshi Sado
s1185,Li Weiran
s1186,Chinaza Onuzo
s1187,
s1188,Anna Elizabeth James
s1189,Vitor Brandt
s1190,Troy Miller
s1191,Liam O'Donnell
s1192,Manny Rodriguez
s1193,Farah Nabulsi
s1194,Adriano Rudiman
s1195,Walter Taylaur
s1196,Chris Smith
s1197,Alain Brunard
s1198,Tate Taylor
s1199,Ladislaus Kiraly
s1200,Oliver Stone
s1201,
s1202,
s1203,Hemambar Jasti
s1204,Steven Spielberg
s1205,Taylor Morden
s1206,
s1207,
s1208,Helena Coan
s1209,Muharrem Gülmez
s1210,Dolapo Adeleke
s1211,
s1212,Mahsun Kırmızıgül
s1213,Can Ulkay
s1214,
s1215,Luis Alejandro Pérez
s1216,Ketche
s1217,Erol Özlevi
s1218,
s1219,Miguel Arteta
