show_id,new_rating
s1,teens
s2,adults
s3,adults
s4,adults
s5,adults
s6,adults
s7,kids
s8,adults
s9,teens
s10,teens
s11,adults
s12,adults
s13,adults
s14,kids
s15,adults
s16,adults
s17,adults
s18,adults
s19,teens
s20,adults
s21,teens
s22,teens
s23,kids
s24,kids
s25,teens
s26,teens
s27,kids
s28,teens
s29,teens
s30,teens
s31,teens
s32,adults
s33,adults
s34,adults
s35,kids
s36,adults
s37,adults
s38,kids
s39,teens
s40,kids
s41,kids
s42,kids
s43,kids
s44,kids
s45,teens
s46,kids
s47,adults
s48,adults
s49,adults
s50,adults
s51,kids
s52,teens
s53,teens
s54,kids
s55,kids
s56,kids
s57,teens
s58,kids
s59,kids
s60,kids
s61,teens
s62,kids
s63,kids
s64,kids
s65,kids
s66,kids
s67,kids
s68,kids
s69,teens
s70,kids
s71,adults
s72,kids
s73,adults
s74,adults
s75,kids
s76,kids
s77,teens
s78,kids
s79,teens
s80,teens
s81,kids
s82,adults
s83,teens
s84,adults
s85,adults
s86,kids
s87,adults
s88,kids
s89,teens
s90,kids
s91,adults
s92,teens
s93,adults
s94,adults
s95,kids
s96,adults
s97,adults
s98,kids
s99,kids
s100,adults
s101,kids
s102,adults
s103,teens
s104,adults
s105,kids
s106,teens
s107,kids
s108,kids
s109,kids
s110,adults
s111,adults
s112,kids
s113,teens
s114,kids
s115,teens
s116,kids
s117,kids
s118,teens
s119,teens
s120,adults
s121,kids
s122,teens
s123,adults
s124,kids
s125,kids
s126,adults
s127,teens
s128,kids
s129,teens
s130,teens
s131,kids
s132,adults
s133,adults
s134,adults
s135,teens
s136,adults
s137,adults
s138,kids
s139,teens
s140,adults
s141,adults
s142,adults
s143,teens
s144,teens
s145,adults
s146,adults
s147,adults
s148,kids
s149,teens
s150,adults
s151,adults
s152,teens
s153,adults
s154,kids
s155,adults
s156,kids
s157,kids
s158,teens
s159,teens
s160,adults
s161,kids
s162,teens
s163,teens
s164,adults
s165,teens
s166,adults
s167,adults
s168,kids
s169,kids
s170,teens
s171,adults
s172,teens
s173,teens
s174,teens
s175,adults
s176,adults
s177,teens
s178,teens
s179,adults
s180,teens
s181,teens
s182,teens
s183,teens
s184,adults
s185,kids
s186,adults
s187,teens
s188,kids
s189,adults
s190,kids
s191,teens
s192,adults
s193,teens
s194,adults
s195,adults
