rotten_tomatoes_link,directors
m/0814255,Chris Columbus
m/0878835,Nicole Holofcener
m/10,Blake Edwards
m/1000013-12_angry_men,Sidney Lumet
m/1000079-20000_leagues_under_the_sea,Richard Fleischer
m/10000_bc,Roland Emmerich
m/1000121-39_steps,Alfred Hitchcock
m/1000123-310_to_yuma,Delmer Daves
m/10002008-charly,Adam Thomas Anderegg
m/1000204-abraham_lincoln,D.W. Griffith
m/10002114-dark_water,Hideo Nakata
m/1000224-accused,Jonathan Kaplan
m/10002516-lost_city,Andy Garcia
m/10002519-breaking_point,Michael Curtiz
m/1000253-adams_rib,George Cukor
m/10002635-bridge_of_san_luis_rey,Mary McGuckian
m/10002673-prowler,Joseph Losey
m/10003276-criminal,Greggory Jacobs
m/1000334-adventures_of_mark_twain,Will Vinton
m/10003437-deep_blue,Andy Byatt
m/1000355-adventures_of_robin_hood,Michael Curtiz
m/10003876-man_hunt,Fritz Lang
m/10003925-dead_end,Jean-Baptiste Andrea
m/10004050-bandwagon,John Schultz
m/10004069-whore,María Lidón
m/10004209-tristan_and_isolde,Kevin Reynolds
m/10004226-wild_side,Sébastien Lifshitz
m/10004232-10004232-tale_of_two_pizzas,Vincent Sassone
m/10004288-running_scared,Wayne Kramer
m/10004352-going_the_distance,Mark Griffiths
m/10004504-ultraviolet,Kurt Wimmer
m/10004635-home_of_the_brave,Paola di Florio
m/10004659-arthur,Luc Besson
m/10004684-malevolence,Stevan Mena
m/10004697-eternal,Wilhelm Liebenberg
m/10004835-farewell_to_arms,Charles Vidor
m/10004890-narrow_margin,Richard Fleischer
m/10004925-matador,Bob Yari
m/10005057-smile,Jeff Kramer
m/10005104-intruder,Claire Denis
m/10005178-saint_ralph,Michael McGowan
m/10005403-the_baxter,Michael Showalter
m/10005499-oliver_twist,Roman Polanski
m/1000560-alamo,John Wayne
m/10005755-g,Christopher Scott Cherot
m/1000580-alexander_the_great,Robert Rossen
m/1000581-alfie,Lewis Gilbert
m/10005819-10005819-neverwas,Joshua Michael Stern
m/10006007-the_second_chance,Steve Taylor
m/10006057-moonlight,Paula Van der Oest
m/1000617-aliens,James Cameron
m/10006188-rise,Sebastian Gutierrez
m/1000626-all_about_eve,Joseph L. Mankiewicz
m/10006270,Salvador Litvak
m/10006324,George Bamber
m/10006343-dirty,Chris Fisher
m/10006370-stay_alive,William Brent Bell
m/1000640-all_of_me,Carl Reiner
m/1000643-all_quiet_on_the_western_front,Delbert Mann
m/10006434-dreamland,Jason Matzner
m/10006485-black_gold,Mark Francis
m/1000654-all_the_kings_men,Robert Rossen
m/10006588-street_fight,Marshall Curry
m/10006780-lost_horizon,Charles Jarrott
m/10006848-the_motel,Michael Kang
m/10006849-once_in_a_lifetime,Paul Crowder
m/10006856-requiem,Hans-Christian Schmid
m/10006940-silk,Chao-Bin Su
m/10007139-park,Kurt Voelker
m/10007142-the_4th_dimension,Tom Mattera
m/10007333-bon_cop_bad_cop,Eric Canuel
m/10007415-amazing_grace,Michael Apted
m/10007538-silence,Cate Shortland
m/10007598-cocaine_cowboys,Billy Corben
m/10007614-gone,Ringan Ledwidge
m/10007714-situation,Philip Haas
m/10007821-snow_blind,Christopher J. Scott
m/10007856-four_sheets_to_the_wind,Sterlin Harjo
m/10007886-the_tigers_tail,John Boorman
m/10007893-its_a_boy_girl_thing,Nick Hurran
m/10007898-slipstream,Anthony Hopkins
m/10007902-delirious,Tom DiCillo
m/10007916_interview,Steve Buscemi
m/1000792-american_anthem,Albert Magnoli
m/10007947-ten,David Wain
m/10007985-happening,M. Night Shyamalan
m/10008005-moliere,Laurent Tirard
m/10008126-straightheads,Dan Reed
m/10008140-borderland,Zev Berman
m/10008200-spiral,Adam Green
m/10008234-alexandra,Aleksandr Sokurov
m/10008390_blood_and_tears,Isidore Rosmarin
m/10008423-cool_school,Morgan Neville
m/10008496-pathology,Marc Scholermann
m/10008502-christmas_carol,Robert Zemeckis
m/10008507-deep_water,Louise Osmond
m/10008562-road_to_victory,Mike Reilly
m/10008587-beverly_hills_chihuahua,Raja Gosnell
m/10008601-fireflies_in_the_garden,Dennis Lee (III)
m/10008606-eye,David Moreau
m/10008607-day_of_the_dead,Steve Miner
m/10008611-my_best_friends_girl,Howard Deutch
m/10008613-burrowers,J.T. Petty
m/10008617-midnight_meat_train,Ryuhei Kitamura
m/10008618-return,Neil Burger
m/10008621-run_fat_boy_run,David Schwimmer
m/10008652-closing_escrow,Armen Kaprelian
m/10008655-whiteout,Dominic Sena
m/10008661-randy_and_the_mob,Ray McKinnon
m/10008667-black_irish,Brad Gann
m/10008678-wild_child,Nicholas Moore
m/10008687-powder_blue,Timothy Linh Bui
m/10008698-king_corn,Curt Ellis
m/10008699-terrors_advocate,Barbet Schroeder
m/10008700-darfur_now,Ted Braun
m/10008701-laaga_chunari_mein_daag,Pradeep Sarkar
m/10008703-rails_and_ties,Alison Eastwood
m/10008705-mr_untouchable,Marc Levin
m/10008706-house,Robby Henson
m/10008744-canvas,Joseph Greco
m/10008747-skid_row,Ross Clarke
m/10008748-saawariya,Sanjay Leela Bhansali
m/10008752-aaja_nachle,Anil Mehta
m/10008754-flawless,Michael Radford
m/10008760-what_happens_in_vegas,Tom Vaughan
m/10008785-appaloosa,Ed Harris
m/10008786-good,Vicente Amorim
m/10008820-visitor,
m/10008830-bill,Melisa Wallack
m/10008849-married_life,Ira Sachs
m/10008856-badland,Francesco Lucente
m/10008924-oxford_murders,Álex de la Iglesia
m/10008954-untraceable,Gregory Hoblit
m/10008991-informers,Gregor Jordan
m/10008992-meeting_resistance,Molly Bingham
m/10009001-the_freshman,Andrew Bergman
m/10009005-a_bloody_aria,Shin-yeon Won
m/10009029-kenny,Clayton Jacobson
m/10009055-rocker,Peter Cattaneo
m/10009063-perfect_holiday,Lance Rivera
m/10009066-la_graine_et_le_mulet,Abdel Kechiche
m/10009083-land_of_the_lost,Brad Silberling
m/10009132-rec,Jaume Balagueró
m/10009138-look,Adam Rifkin
m/1000915-and_god_created_woman,Roger Vadim
m/10009151-box,Richard Kelly
m/10009169-man_in_the_chair,Michael Schroeder
m/10009172-undoing,Chris Chan Lee
m/10009176-black_water,David Nerlich
m/10009192-21,Robert Luketic
m/10009210-duchess_of_langeais,Jacques Rivette
m/10009212-ben_x,Nic Balthazar
m/10009225-body_of_lies,Ridley Scott
m/10009239-passengers,Rodrigo García
m/10009244-the_grand,Zak Penn
m/10009253-the_hammer,Charles Herman-Wurmfeld
m/10009254-shutter,Masayuki Ochiai
m/10009274-priest,Scott Stewart
m/10009323-broken,Sean Ellis (II)
m/10009334-the_escapist,Rupert Wyatt
m/10009355-sugar,Anna Boden
m/10009420-quid_pro_quo,Carlos Brooks
m/10009421-red,Trygve Allister Diesen
m/10009426-guitar,Amy Redford
m/10009460-the_road,John Hillcoat
m/10009462-g_force,Hoyt Yeatman
m/10009469-the_other_man,Richard Eyre
m/10009493-duchess,Saul Dibb
m/10009516-women,Diane English
